(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Rockhampton Netball Association Inc,GPPS-GPPS06-2017-0653,Rockhampton Netball Association Inc,replace four netball courts to support Netball at Rockhampton,Active,Netball,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",ROCKHAMPTON,ROCKHAMPTON REGIONAL,WANDAL,Northern,964,3,150.49174,-23.36588,82-88 Wandal Road,4700,4700
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Raglan Target Sports Association Inc.,GPPS-GPPS06-2017-0655,Raglan Target Sports Association Inc,repair two stop butts and replace a damaged ablutions block to support shooting activities at Raglan,Active,"Disability Sports,Shooting - Pistol,Shooting - Rifle,Shooting - Sporting,Shooting - Sporting Clays,Shooting - Target",27/09/2017,All age groups and genders (i.e. general community),"$59,840.00 ",GLADSTONE,GLADSTONE REGIONAL,RAGLAN,Northern,901,2,150.817097,-23.72056,55643 Bruce Highway,4697,4701
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Dalby & District Rugby Football Club Inc.,GPPS-GPPS06-2017-0672,Dalby And District Rugby Football Club Inc,install and upgrade lighting to support rugby union at Dalby,Active,"Cricket,Rugby League,Rugby Union",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$138,209.00 ",WARREGO,WESTERN DOWNS REGIONAL,DALBY,South West,0,0,151.272195,-27.190257,Orpen Street,4405,4405
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Ipswich & District Athletic Club Inc.,GPPS-GPPS06-2017-0673,Ipswich & District Athletic Club Inc,"install a permanent hammer and discus throws cage to support athletics at Bill Paterson Oval, Limestone Park at Ipswich",Completed,"Athletics,Athletics Little",27/09/2017,All age groups and genders (i.e. general community),"$54,547.00 ",IPSWICH,IPSWICH CITY,IPSWICH,North Coast,0,0,152.766483,-27.624779,42a Chermside Road,4305,4304
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Football Queensland Ltd,GPPS-GPPS06-2017-0701,Football Queensland Ltd,"upgrade lighting to three fields to support football and softball at Meakin Park, Logan",Active,"Football,Softball",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",WATERFORD,LOGAN CITY,SLACKS CREEK,South Coast,1003,5,153.138769,-27.649201,143 - 205 Meakin Road,4127,4114
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Queensland Police-citizens Youth Welfare Association,GPPS-GPPS06-2017-0707,Queensland Police-Citizens Youth Welfare Association (Nerang),"upgrade one basketball court to support multisports at PCYC, Nerang",Active,"Basketball,Boxing,Cheerleading,Gymnastics,Taekwondo,Wheelchair Basketball",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$137,815.00 ",GAVEN,GOLD COAST CITY,NERANG,South Coast,938,3,153.340514,-28.005767,18 Cayuga Road,4173,4173
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Brisbane Hockey Management Group Inc.,GPPS-GPPS06-2017-0708,Brisbane Hockey Management Group Inc.,upgrade existing field lighting to support hockey at Chermside,Active,Hockey,27/09/2017,All age groups and genders (i.e. general community),"$127,115.00 ",STAFFORD,BRISBANE CITY,CHERMSIDE,North Coast,0,0,153.035266,-27.385447,21 Kittyhawk Drive,4032,4170
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cairns Cycling Club Inc.,GPPS-GPPS06-2017-0709,Cairns Cycling Club Inc,"replace cycledrome track surface to support cycling at Smith Park, Cairns",Active,"Cycling,Mountain Biking,Triathlon",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",CAIRNS,CAIRNS REGIONAL,MANUNDA,Far North,678,1,145.739198,-16.924941,6-26 Koch Street,4870,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Elliott Heads Surf Life Saving Club Inc.,GPPS-GPPS06-2017-0737,Elliott Heads Surf Life Saving Club Inc,construct a storage shed to support surf lifesaving at Elliot Heads,Completed,"Life Saving Surf,Swimming",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years)","$136,838.00 ",BURNETT,BUNDABERG REGIONAL,ELLIOTT HEADS,South West,919,2,152.491034,-24.920074,Lihs Street,4670,4670
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Townsville City Netball Association Incorporated,GPPS-GPPS06-2017-0739,Townsville City Netball Association Inc,upgrade court surfaces to support netball at Townsville,Active,Netball,27/09/2017,All age groups and genders (i.e. general community),"$109,861.00 ",MUNDINGBURRA,TOWNSVILLE CITY,ANNANDALE,Northern,0,0,146.799343,-19.313214,Murray Sporting Comp,4814,4814
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Beenleigh Australian Rules Football Club Inc.,GPPS-GPPS06-2017-0740,Beenleigh Australian Rules Football Club Inc.,"establish sports field lighting to support Australian football and cricket at the Beenleigh State High School, Beenleigh",Completed,Australian Football,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",MACALISTER,LOGAN CITY,BEENLEIGH,South Coast,804,1,153.206228,-27.714639,40 Alamein Street,4207,4207
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Bollon Tennis Club Incorporated,GPPS-GPPS06-2017-0749,Bollon Tennis Club Incorporated,"upgrade court surface, lighting and install new courts to support multi-sport at Bollon",Active,"Active Play,Active Recreation,Basketball,Tennis",27/09/2017,All age groups and genders (i.e. general community),"$91,735.00 ",WARREGO,BALONNE SHIRE,BOLLON,South West,970,4,147.482479,-28.032955,5-7 Wallam Street,4488,4488
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Coomera Cubs Baseball Club Inc,GPPS-GPPS06-2017-0754,Coomera Cubs Baseball Club Inc.,construct a new clubhouse to support baseball at Oxenford,Active,Baseball,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",THEODORE,GOLD COAST CITY,OXENFORD,South Coast,955,3,153.309736,-27.896077,22 Riversdale Road,4210,4212
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mad Mountain Bike Club Inc,GPPS-GPPS06-2017-0764,Mad Mountain Bike Club Inc.,upgrade trails to support mountain biking at Mackay,Active,"Bushwalking,Mountain Biking,Mountain Bike Orienteering",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",WHITSUNDAY,MACKAY REGIONAL,RICHMOND,Northern,1118,10,149.120174,-21.083731,290 Glendaragh Road,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Wide Bay Gymnastics Club Incorporated,GPPS-GPPS06-2017-0767,Wide Bay Gymnastics Club Incorporated,construct a training facility to support gymnastics and cheerleading at Urangan,Completed,"Acrobatics,Cheerleading,Gymnastics",27/09/2017,"Female (0 - 17 years),Male (0 - 17 years)","$150,000.00 ",HERVEY BAY,FRASER COAST REGIONAL,URANGAN,South West,917,2,152.887431,-25.307811,Walkers Road,4655,4655
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Southport Carrara Netball Association Inc.,GPPS-GPPS06-2017-0776,Southport Carrara Netball Association Inc.,construct male amenities and a storage room to support netball at Ashmore,Completed,Netball,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$101,915.00 ",SOUTHPORT,GOLD COAST CITY,ASHMORE,South Coast,962,3,153.395013,-27.994278,166 Benowa Road,4214,4214
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay District Junior Rugby Union Inc.,GPPS-GPPS06-2017-0815,Mackay District Junior Rugby Unon,"upgrade lighting, repair field and install a bore water system to support rugby union at Mackay",Active,"Athletics,Rugby League,Rugby Union",27/09/2017,All age groups and genders (i.e. general community),"$148,780.00 ",MACKAY,MACKAY REGIONAL,NORTH MACKAY,Northern,858,1,149.18393,-21.116182,58 Hamilton Street,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Blackwater Pony Club Inc.,GPPS-GPPS06-2017-0816,Blackwater Pony Club Inc,install a second hand demountable amenities block and upgrade septic to support pony club at Blackwater,Completed,"Equestrian,Horse Riding - Recreational,Polocrosse,Pony Club,Riding For Disabled",27/09/2017,All age groups and genders (i.e. general community),"$33,282.00 ",GREGORY,CENTRAL HIGHLANDS REGIONAL,BLACKWATER,Northern,1018,5,148.889015,-23.590412,35 Columba Access Road,4717,4717
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Wests Juniors Australian Football Club Incorporated,GPPS-GPPS06-2017-0823,Wests Juniors Australian Football Club Inc,upgrade existing lights to main field and install new lighting to training area and install fence to support Australian football and cricket at Taringa,Active,"Australian Football,Cricket",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years)","$144,427.00 ",MAIWAR,BRISBANE CITY,TARINGA,North Coast,1105,9,152.985426,-27.488918,21 Union Street,4068,4074
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,North Mackay Australian Rules Football Club Inc.,GPPS-GPPS06-2017-0830,North Mackay Australian Rules Football Club Inc.,install subsoil drainage and resurface field to support AFL at Mackay,Active,"Australian Football,Cricket",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,ANDERGROVE,Northern,949,3,149.170929,-21.103979,12 Cutler Drive,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Port Denison Sailing Club Incorporated,GPPS-GPPS06-2017-0834,Port Denison Sailing Club Incorporated,rebuild amenities block to support sailing at Port Denison,Active,Sailing,27/09/2017,All age groups and genders (i.e. general community),"$86,700.00 ",BURDEKIN,WHITSUNDAY REGIONAL,BOWEN,Northern,938,3,148.245494,-20.01909,Quay Street,4805,4805
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Vp Magic Fc Inc.,GPPS-GPPS06-2017-0864,VP Magic FC Inc,construct a clubhouse to support football at Redland Bay,Active,Football,27/09/2017,All age groups and genders (i.e. general community),"$103,600.00 ",REDLANDS,REDLAND CITY,REDLAND BAY,South Coast,0,0,153.302851,-27.629514,1-5 Donald Road,4165,4211
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Marian Bowls Club Inc.,GPPS-GPPS06-2017-0873,Marian Bowls Club Inc,replace shade cover to support bowls at Marian,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$50,715.00 ",MIRANI,MACKAY REGIONAL,MARIAN,Northern,978,4,148.940248,-21.145303,16 Reg Smith Street,4753,4753
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Ipswich Hockey Association Inc.,GPPS-GPPS06-2018-0255,Ipswich Hockey Association (Out of Round),to connect water and sewerage services to a new amenities building at Raceview,Active,Hockey,07/08/2018,All age groups and genders (i.e. general community),"$45,000.00 ",IPSWICH,IPSWICH CITY,RACEVIEW,North Coast,,,152.760206,-27.640024,30 Huxham Street,4305,4305
